iter	RMSE
0	10.78481617
1	10.64875023
2	10.53468858
3	10.43740007
4	10.35110394
5	10.27345827
6	10.20936436
7	10.15001503
8	10.09821013
9	10.04432236
10	9.998460042
11	9.957407689
12	9.921272424
13	9.884808919
14	9.849883596
15	9.818197817
16	9.791810299
17	9.766173528
18	9.741835766
19	9.720120459
20	9.697013861
21	9.676294141
22	9.655159855
23	9.639076093
24	9.620604901
25	9.604620272
26	9.59114117
27	9.577642999
28	9.563535786
29	9.550241757
30	9.536715493
31	9.523222111
32	9.514021849
33	9.504287594
34	9.49421718
35	9.482449869
36	9.473342934
37	9.46486807
38	9.454269438
39	9.446779432
40	9.439408124
41	9.430691497
42	9.421663893
43	9.413711478
44	9.405337892
45	9.396581122
46	9.389467848
47	9.382666633
48	9.376265627
49	9.370951839
50	9.363862437
51	9.359163377
52	9.353282072
53	9.347705599
54	9.340785462
55	9.336325761
56	9.331718482
57	9.325620363
58	9.320189696
59	9.315986518
60	9.311461691
61	9.305566914
62	9.30114844
63	9.297791541
64	9.29312307
65	9.288889733
66	9.282925284
67	9.278241229
68	9.274906131
69	9.270154291
70	9.267154096
71	9.262681051
72	9.258457117
73	9.25527852
74	9.250412859
75	9.247917894
76	9.244751574
77	9.241130819
78	9.237945606
79	9.234481733
80	9.230532464
81	9.227240698
82	9.224406688
83	9.221358256
84	9.217609009
85	9.214609083
86	9.211707535
87	9.208710151
88	9.205920559
89	9.203223066
90	9.200225831
91	9.197292227
92	9.194345778
93	9.191953674
94	9.189690125
95	9.185794646
96	9.183722375
97	9.181418617
98	9.178692811
99	9.176665182
100	9.172701125
101	9.169664604
102	9.166656723
103	9.164113552
104	9.16176359
105	9.159623511
106	9.157321951
107	9.153905678
108	9.150665505
109	9.148676313
110	9.146944779
111	9.144711848
112	9.142839942
113	9.140396785
114	9.13707403
115	9.134933586
116	9.132680233
117	9.130058677
118	9.127354702
119	9.125099531
120	9.122379883
121	9.120126687
122	9.117604434
123	9.11571934
124	9.113723442
125	9.111488568
126	9.109507349
127	9.107194199
128	9.105095762
129	9.103282464
130	9.101170713
131	9.099414769
132	9.097735652
133	9.095596532
134	9.093653014
135	9.091888067
136	9.089656202
137	9.087311432
138	9.085218678
139	9.082848229
140	9.08065571
141	9.078411681
142	9.076461721
143	9.074522918
144	9.072680566
145	9.0707503
146	9.068742898
147	9.066665333
148	9.064417548
149	9.062465578
150	9.060516651
151	9.058352573
152	9.056495357
153	9.054550275
154	9.052498031
155	9.050507837
156	9.048695464
157	9.046664167
158	9.044918552
159	9.04277707
160	9.040635735
161	9.038872166
162	9.036903529
163	9.035004819
164	9.033683283
165	9.032123418
166	9.030155096
167	9.028589286
168	9.026610723
169	9.024893458
170	9.023370993
