iter	Passed	Remaining
0	13	13266
1	25	12901
2	38	12783
3	50	12655
4	63	12548
5	75	12466
6	87	12364
7	99	12321
8	111	12233
9	123	12238
10	135	12225
11	147	12169
12	159	12145
13	172	12132
14	184	12109
15	196	12063
16	207	12009
17	219	11971
18	231	11933
19	242	11879
20	254	11867
21	267	11869
22	279	11873
23	291	11854
24	303	11836
25	316	11856
26	328	11830
27	340	11816
28	352	11801
29	365	11818
30	378	11817
31	390	11804
32	402	11788
33	413	11752
34	425	11726
35	436	11701
36	448	11680
37	459	11644
38	471	11624
39	483	11593
40	494	11566
41	506	11549
42	518	11536
43	529	11514
44	541	11491
45	553	11478
46	565	11462
47	577	11450
48	588	11420
49	600	11403
50	611	11372
51	622	11344
52	634	11332
53	645	11314
54	657	11297
55	669	11280
56	680	11254
57	690	11221
58	702	11204
59	713	11181
60	726	11175
61	737	11158
62	749	11140
63	760	11119
64	771	11102
65	783	11087
66	794	11064
67	806	11050
68	817	11036
69	829	11016
70	840	10999
71	852	10983
72	864	10978
73	876	10964
74	887	10950
75	899	10931
76	910	10910
77	921	10890
78	932	10876
79	944	10862
80	956	10852
81	969	10849
82	980	10837
83	992	10824
84	1004	10812
85	1017	10809
86	1029	10802
87	1041	10790
88	1052	10775
89	1064	10764
90	1076	10756
91	1089	10748
92	1101	10740
93	1114	10743
94	1127	10741
95	1139	10732
96	1151	10717
97	1162	10703
98	1174	10691
99	1186	10676
100	1198	10665
101	1216	10709
102	1232	10731
103	1245	10729
104	1257	10717
105	1269	10707
106	1281	10695
107	1293	10686
108	1306	10676
109	1317	10659
110	1329	10646
111	1340	10627
112	1351	10611
113	1364	10601
114	1375	10587
115	1388	10577
116	1399	10559
117	1410	10544
118	1422	10533
119	1434	10520
120	1446	10506
121	1458	10493
122	1469	10480
123	1481	10465
124	1493	10451
125	1505	10441
126	1516	10426
127	1528	10416
128	1540	10402
129	1552	10386
130	1562	10366
131	1573	10348
132	1585	10334
133	1596	10320
134	1608	10308
135	1619	10290
136	1631	10277
137	1643	10266
138	1654	10251
139	1666	10238
140	1678	10226
141	1689	10211
142	1701	10195
143	1712	10178
144	1723	10164
145	1735	10150
146	1747	10137
